Theme,Subject,Topic,Lede
,Retail industry,,"Businesses which sell goods directly to end-user customers are defined as retailers. The key statistic for retail is the retail sales index (RSI), published monthly. The data in the RSI only covers spending on goods (in-store and online); data on spending on services can be found in the Index of Services."
,Tourism industry,,"Figures on tourism industries including: accommodation services, food and beverage services, passenger transport services, vehicle hire, travel agencies and sports, recreational and conference services. We also publish employment levels and output of the tourism industries, the number of visitors to the UK and the amount they spend."
Economy,,,"The UK economy covers the production, distribution, consumption and trade of goods and services. Individuals, businesses, organisations and governments all affect the development of the economy."
,Economic output and productivity,,"Economic output is the total value of goods and/or services produced in a process. We measure this using indices of manufacturing, production and services. Productivity is a measure of efficiency. It can be expressed as a ratio of output to input over a given period of time, for example output per person per hour."
,,Output,"Economic output is the total value of goods and/or services produced in a process. We measure this using indices including manufacturing, production and services."
,,Productivity measures,"Productivity is a measure of efficiency. It can be expressed as a ratio of output to input over a given period of time, for example output per person per hour."
,,Public services productivity,"Output, inputs and productivity estimates for public services in the UK, including estimates of healthcare and education productivity."
,Environmental accounts,,"These accounts show the relationship between the environment and the economy. This includes how the environment contributes to the economy (for example, through the extraction of raw materials), the impact the economy has on the environment (such as energy consumption) and how society responds to environmental issues (including expenditure on environmental protection). These accounts are used to inform government policies and to evaluate the impact of different sectors on the environment."
,"Government, public sector and taxes",,"This section covers the latest figures on what the UK public sector has spent, raised in revenue and invested. The headline statistic here is Public Sector Net Borrowing, which is the amount of money the Government has borrowed to bridge the gap between revenue and expenditure."
,,Local government finance,
,,Public sector finance,These statistics cover the main aspects of the UK's public sector finances. We publish them jointly with the Treasury.
,,Public spending,
,,Research and development expenditure,"This is spending on creative work undertaken systematically  to increase the stock of knowledge. The statistics here are based on estimates of Research and Development performed in and funded by Business Enterprise, Higher Education, Government and Private Non-Profit organisations."
,,Taxes and revenue,
,Gross Domestic Product (GDP),,This is a measure of economic activity which captures the value of goods and services that the UK produces during a given period.
,Gross Value Added (GVA),,"This measures the contribution to the economy of each individual producer, industry or sector. We use it to estimate Gross Domestic Product."
,Inflation and price indices,,We use price indices such as the Consumer Prices Index (CPI) to assess inflation - a measure of the rate of increase in prices for goods and services. One way to understand the CPI is to think of a large shopping basket containing a selection of the goods and services bought by households. The CPI estimates changes to the total cost of this basket.
,"Investments, pensions and trusts",,"Investment refers to the flow of money around and across countries for the purpose of making profit. A pension is a fixed sum to be paid regularly to a person, typically following retirement and a trust is a legal arrangement where one or more 'trustees' are made legally responsible for holding assets. Statistics here include net flows of investment into the UK, figures on the number of people who hold pensions of different types and investments made by various types of trusts. "
,National accounts,,"Economic policy-makers need accurate data. Responsibility for this data lies with National Accounts, the team tasked with consistently estimating and reporting economic activity. We collect data from sources such as businesses, manufacturers and service providers so that we can produce figures for GDP, indices of services, manufacturing and production and other statistics."
,,Balance of payments,
,,Satellite accounts,
,,Supply and use tables,"Input-Output Supply and Use tables, providing estimates of industry inputs and outputs, product supply and demand and Gross Value Added (GVA) for the United Kingdom (UK)."
,,Up sector accounts,"The sector accounts summarise the transactions of particular groups of institutions within the economy, showing how the income from production is distributed and redistributed and how savings are used to add wealth through investment in physical or financial assets."
,Regional accounts,,"These are accounts for regions, sub-regions and local areas of the UK, produced according to the same concepts and definitions used in the National Accounts. These accounts allow comparisons between regions and against a UK average. Key statistics here are regional Gross Value Added statistics and figures on regional Gross Disposable Household Income."
,,Gross disposable household income,"Gross disposable household income (GDHI) is the amount of money that all of the individuals in the household sector have available for spending or saving after income distribution measures (for example, taxes, social contributions and benefits) have taken effect."
Employment and labour market,,,"Labour market statistics tell us about people in and out of work. They cover employment, unemployment, types of work, earnings, working patterns and workplace disputes."
,People in work,,"People in work are those classed as in employment. Figures here focus on employment rates, hours of work, vacancies, claimants and earnings."
,,Earnings and working hours,"Earnings can be paid on a regular basis or as bonus pay. Total pay combines both regular and bonus pay. We report the level and growth rate of average weekly total, regular and bonus pay. Working hours are given as the average weekly hours worked by full-time and part-time workers. [CHECK]"
,,Employment and employee types,"People in employment are classed as those working for pay or those working for no pay in a family business. We calculate employment rates from the Labour Force Survey (LFS), broken down by age. Other figures here are for men and women in employment (also from the LFS) and vacancies (from the Vacancies survey)."
,,Labour productivity,"This measures the efficiency of the workforce, calculated as output per worker, output per job and output per hour. Labour productivity is an important factor in determining the productive potential of the economy. Countries with strong labour productivity growth tend to benefit from high rates of growth and low inflation."
,,Workplace disputes and working conditions,Workplace disputes mean stoppages of work because of a dispute between employer and employees. These include strikes (lawful and unlawful) and lock-outs (an employer barring employees from entering a place of work). Our figures include the number of days lost to workplace disputes in the public and private sectors and the number of workers involved.
,,Workplace pensions,
,People not in work,,Statistics on the number of unemployed and economically inactive people in the UK
,,Unemployment,The level and rate of UK unemployment is measured by the Labour Force Survey using a definition of unemployment specified by the International Labour Organisation. This defines unemployed people as those without a job who have been actively seeking work in the past four weeks and are available to start work in the next two weeks. It also includes those who are out of work but have found a job and are waiting to start it in the next two weeks. 
,Public sector personnel,,"Data on the number of people employed in central government, local government and public corporations. These employees can be permanent, on a fixed-term contract, employed on a casual basis or working in a second job in the public sector. The statistics do not cover self-employed people, contract workers and agency workers."
"People, population and community",,,"How many people live in the UK, changes in the population and analysis of how we spend our money. We also publish data on crime, relationships, health and religion. These statistics help us build a detailed picture of how we live."
,"Births, deaths and marriages",,"Life event' statistics tell us about the size and condition of the population. We publish definitive data on the number of births and deaths on a calendar year basis. But for updating population estimates, we use mid-year to mid-year (1 July to 30 June) data, with some other minor differences."
,,Adoption,We obtain data on adoption from adoption registrations. These figures show the age and gender of the children being adopted and whether they were born inside marriage.
,,Ageing,"Ageing analysis builds on life expectancy and population estimates, summarising the latest analysis of official statistics on population ageing and the lives of older people. They also provide ageing indicators such as median age and sex ratios at older ages at the national and local level."
,,Conception and fertility rates,"Data on total conceptions, broken down by age, plus average completed family size and childlessness."
,,Deaths,"We receive data on deaths from the deaths register, so only data on registered deaths is available. This data is broken down by age, gender, area of the UK and cause of death. Some of the datasets here are available as long run time series."
,,Divorce,"We report statistics on divorces by the age and gender of the divorcees, who divorce was granted to and the areas of the UK."
,,Families,"Figures on the composition of households, including data on lone parents, married couples and civil partners."
,,Life expectancies,"We use estimates of the population and the number of deaths to derive an estimate of how long, on average, people of various ages can expect to live. Central and local governments use these figures to make planning and resource allocation decisions."
,,Live births,"The number of live births is a subset of the data that we obtain from births and deaths registrations. They are available by gender, month of the year and region of the UK."
,,"Marriage, cohabitation and civil partnerships","Data on marriages, cohabitation and civil partnerships."
,,Maternities,"Figures for women having babies (including stillbirths), not the number of babies born."
,,Stillbirths,"Data on stillbirths, with regional breakdowns."
,Community,,
,,Cohesion and participation,
,,Neighbourhoods,
,Crime and justice,,The number and types of crimes committed and the victims' characteristics. We collect these figures from crimes recorded by the police and the Crime Survey for England and Wales (this survey covers crimes that may have not been reported or recorded by the police). We also publish data on the outcomes of crime in terms of what happened to the offender.
,Cultural identity,,"How people in the UK see themselves today, in terms of ethnicity, sexuality, religion and language, and how this has changed over time. We use a diverse range of sources for this data."
,,Ethnicity,How adults identify themselves in terms of their ethnicity.
,,Language,Data on the proportion of adults using English as their main language and other languages used in the UK.
,,Religion,How adults identify themselves in terms of religion.
,,Sexuality,How adults identify themselves in terms of their sexuality.
,Education and childcare,,
,Elections,,
,,Electoral registration,The number of people listed on electoral registers. This differs from the number of people who are eligible to vote. These statistics are available for the constituent countries of the UK.
,,General elections,
,,Local government elections,
,Health and social care,,"Data on life expectancy and the impact of factors such as occupation, illness and drug misuse. We collect these statistics from registrations and surveys. "
,,Causes of death,
,,Child health,
,,Conditions and diseases,"Data on health conditions and diseases including newly diagnosed cancers, deaths from MRSA and deaths involving clostridium difficile (bacterial infection)."
,,Disability,Data on the number of people with disabilities and how disability affects day-to-day activities.
,,"Drug use, alcohol and smoking","Figures on drug-related deaths, alcohol-related deaths and smoking-related deaths."
,,Health care system,
,,Health inequalities,
,,Health and life expectancies,
,,Health and well-being,
,,Mental health,
,,Social care,
,Household characteristics,,
,,Home internet and social media usage,"Data on how many of us use the internet and social media and how long we use it for. The figures include the number of people who have used the internet, who use the internet frequently and who have never used the internet. Most of these statistics are broken down by age and gender."
,Housing,,"Data about property prices. These are an informal indicator of the confidence people feel in the UK economy. We collect the data from a sample of mortgage completions, so we do not include property sold to cash buyers."
,Leisure and tourism,,"Data on the number of visits and visitors to the UK, the reasons for visiting and the amount of money they spent here. Also, figures on UK residents travelling abroad, their reasons and the amount of money they spent. These statistics on UK residents travelling abroad are an informal indicator of living standards."
,Personal and household finances,,"How much we earn and what we spend it on. These statistics help us build a picture of our spending and saving decisions. The data includes household and personal debt, expenditure, income and wealth."
,,Debt,"Data on the debt of UK households, broken down by financial debt and property debt."
,,Expenditure,Data on the spending patterns of UK households.
,,Income and wealth,Data on median household income and wealth.
,,"Pensions, savings and investments",
,Population and migration,,"Statistics on the size, age, gender and geographic distribution of the UK population. Also, changes in the UK population and the factors driving these changes. These statistics have a wide range of uses. Central government, local government and the health sector use them for planning, resource allocation and managing the economy. They are also used by people such as market researchers and academics."
,,International migration,"International migration statistics provide estimates of the number of people moving in and out of the UK. Data on long term migration, short term migration, and visitor data provide a picture of those entering and leaving the UK, covering all lengths of stay. "
,,Migration within the up,"Internal migration refers to residential moves between different geographic areas within the UK. These statistics are compiled from data from main three sources: The NHS Patient Register, The NHS Central Register (NHSCR) and the Higher Education Statistics Agency (HESA). "
,,Population estimates,"Annual estimates of the size of the UK “usually resident population” are calculated at the mid-year point (30 June). The ONS compile and publish the UK estimates using estimates for England and Wales (produced by ONS directly), estimates for Scotland (produced by National Records of Scotland) and estimates for Northern Ireland (produced by the Northern Ireland Statistics & Research Agency). "
,,Population projections,"National population projections are available by age and sex for the UK and its constituent countries. These population projections are based on mid-year population estimates and a set of underlying assumptions regarding future fertility, mortality and migration. They provide an indication of the impact that changes in demographic patterns might have on the size and age structure of the population in the future. These projections are widely used for resource allocation and planning. "
,Well-being,,"Measuring national well-being is about looking beyond what we produce, to areas such as health, relationships, education and skills, what we do, where we live, our finances and the environment. It also measures 'personal well-being' - an individual's assessment of their own well-being. This data comes from a variety of sources and much of the analysis is new."
