Theme,Subject,Topic,Lede
,Tourism industry,,"We look at data from the tourism industry, including accommodation services, food and beverage services, passenger transport services, vehicle hire, travel agencies and sports, recreational and conference services. We also examine employment levels and output of the tourism industry, the number of visitors to the UK and the amount they spend."
Economy,,,"The UK economy covers the production, distribution, consumption and trade of goods and services. Individuals, businesses, organisations and governments all affect the development of the economy."
,Economic output and productivity,,"Economic output is the total value of goods and/or services produced in a process. We measure this by using indices of manufacturing, production and services. Productivity is a measure of efficiency, and can be expressed as a ratio of output to input over a given period of time; for example, output per person per hour."
,,Output,"Economic output is the total value of goods and/or services produced, and is an important economic indicator. We measure this using indices including manufacturing, production and services."
,,Productivity measures,"Productivity is a measure of efficiency. It can be expressed as a ratio of output to input over a given period of time, for example, output per person per hour."
,,Public services productivity,"Output, inputs and productivity estimates for public services in the UK, including estimates of healthcare and education productivity."
,Environmental accounts,,"These accounts show the relationship between the environment and the economy. This includes how the environment contributes to the economy, the impact the economy has on the environment and how society responds to environmental issues. This information is used to inform government policies and to evaluate the impact of different sectors on the environment."
,"Government, public sector and taxes",,"We look at the latest figures on what the UK public sector has spent, raised in revenue and invested. The headline statistic here is Public Sector Net Borrowing, which is the amount of money the Government has borrowed to bridge the gap between revenue and expenditure."
,,Local government finance,
,,Public sector finance,These statistics cover the main aspects of the UK's public sector finances. We publish them jointly with HM Treasury.
,,Public spending,
,,Research and development expenditure,"This involves the spending on creative work undertaken systematically to increase the stock of knowledge. The statistics here are based on estimates of R&D performed in and funded by Business Enterprise, Higher Education, Government and Private Non-Profit organisations."
,,Taxes and revenue,
,Gross Domestic Product (GDP),,This is a measure of economic activity which captures the value of goods and services that the UK produces during a given period.
,Gross Value Added (GVA),,"This measures the contribution to the economy of each individual producer, industry or sector. We use it to estimate Gross Domestic Product (GDP)."
,Inflation and price indices,,We use price indices such as the Consumer Prices Index (CPI) to assess inflation - a measure of the rate of increase in prices for goods and services. One way to understand the CPI is to think of a large shopping basket containing a selection of the goods and services bought by households. The CPI estimates changes to the total cost of this basket.
,"Investments, pensions and trusts",,"Investment refers to the flow of money around and across countries for the purpose of making profit. A pension is a fixed sum to be paid regularly to a person, typically following retirement, and a trust is a legal arrangement where 1 or more 'trustees' are made legally responsible for holding assets. Statistics here include net flows of investment into the UK, figures on the number of people who hold pensions of different types and investments made by various types of trusts. "
,National accounts,,"Economic policymakers need accurate data. Responsibility for this data lies with National Accounts, the team tasked with consistently estimating and reporting economic activity. We collect data from sources such as businesses, manufacturers and service providers so that we can produce figures for the Gross Domestic Product (GDP), indices of services, manufacturing and production and other statistics."
,,Balance of payments,The UK's Balance of Payments (BoP) is a record of all economic transactions between residents of the UK and the rest of the world.
,,Satellite accounts,
,,Supply and use tables,"Input-Output Supply and Use tables provides estimates of industry inputs and outputs, product supply and demand and Gross Value Added (GVA) for the UK."
,,UK sector accounts,"We summarise the transactions of particular groups of institutions within the economy, showing how the income from production is distributed and redistributed and how savings are used to add wealth through investment in physical or financial assets."
,Regional accounts,,"These are accounts for regions, sub-regions and local areas of the UK, produced according to the same concepts and definitions used in the National Accounts. These accounts allow comparisons between regions and against a UK average. Key statistics here are regional Gross Value Added (GVA) statistics and figures on regional Gross Disposable Household Income (GDHI)."
,,Gross disposable household income,"Gross disposable household income (GDHI) is the amount of money that individuals have available for spending or saving after income distribution measures (for example, taxes, social contributions and benefits) have taken effect."
Employment and labour market,,,"Labour market statistics tell us about people in and out of work. They cover employment, unemployment, types of work, earnings, working patterns and workplace disputes."
,People in work,,"People in work are those classed as in employment. Figures here focus on employment rates, hours of work, vacancies, claimants and earnings."
,,Earnings and working hours,"Earnings can be paid on a regular basis or as bonus pay. We report the level and growth rate of average weekly total, regular and bonus pay. Working hours are given as the average weekly hours worked by full-time and part-time workers. "
,,Employment and employee types,"People in employment are classed as those working for pay or those working for no pay in a family business. We calculate employment rates from the Labour Force Survey (LFS), broken down by age. Other figures include men and women in employment (also from the LFS) and vacancies (from the Vacancies Survey)."
,,Labour productivity,"Labour productivity measures the efficiency of the workforce, calculated as output per worker, output per job and output per hour. It is an important factor in determining the productive potential of the economy. Countries with strong labour productivity growth tend to benefit from high rates of growth and low inflation."
,,Workplace disputes and working conditions,Workplace disputes mean stoppages of work because of a dispute between an employer and employees. These include strikes (lawful and unlawful) and lock-outs (where an employer stops employees from entering a place of work). Our figures include the number of days lost to workplace disputes in the public and private sectors and the number of workers involved.
,,Workplace pensions,
,People not in work,,We take a look at  the number of unemployed and economically inactive people in the UK.
,,Unemployment,"The level and rate of UK unemployment is measured by the Labour Force Survey (LFS), using a definition of unemployment specified by the International Labour Organisation. This defines unemployed people as those without a job who have been actively seeking work in the past 4 weeks and are available to start work in the next 2 weeks. It also includes those who are out of work but have found a job and are waiting to start it in the next 2 weeks. "
,Public sector personnel,,"We look at the number of people employed in central government, local government and public corporations. These employees can be permanent, on a fixed-term contract, employed on a casual basis or working in a second job in the public sector. These statistics do not cover self-employed people, contract workers or agency workers."
"People, population and community",,,"We look at how many people live in the UK, changes in the population and how we spend our money. We also publish data on crime, relationships, health and religion. These statistics help us build a detailed picture of how we live."
,"Births, deaths and marriages",,"Life event statistics tell us about the size and condition of the population. We publish definitive data on the number of births and deaths on a calendar year basis. For updating population estimates, we use mid-year to mid-year (1 July to 30 June) data, with some other minor differences."
,,Adoption,We obtain data on adoption from adoption registrations. These figures show the age and gender of the children being adopted and whether they were born inside marriage.
,,Ageing,"Ageing analysis builds on life expectancy and population estimates, summarising the latest analysis of official statistics on population ageing and the lives of older people. They also provide ageing indicators such as median age and sex ratios at older ages at national and local levels."
,,Conception and fertility rates,"We look at total conceptions, broken down by age, plus average completed family size and childlessness."
,,Deaths,"We receive data on deaths from the deaths register, so only data on registered deaths is available. This information is broken down by age, gender, area of the UK and cause of death. Some of the datasets are available as long run time series."
,,Divorce,"We report statistics on divorces by the age and gender of the divorcees, who divorce was granted to and the areas of the UK."
,,Families,"Figures on the composition of households, including data on lone parents, married couples and civil partners."
,,Life expectancies,"We use estimates of the population and the number of deaths to estimate how long, on average, people can expect to live. Central and local governments use these figures to make planning and resource allocation decisions."
,,Live births,"The number of live births is a subset of the data that we get from births and deaths registrations. They are available by gender, month of the year and region of the UK."
,,"Marriage, cohabitation and civil partnerships","We take a look at marriages, cohabitation and civil partnerships."
,,Maternities,"We look at the number of women having babies (including stillbirths), not the number of babies born."
,,Stillbirths,"Data on stillbirths, with regional breakdowns."
,Community,,
,,Cohesion and participation,
,,Neighbourhoods,
,Crime and justice,,We look at crimes committed and the victims' characteristics. We collect these figures from crimes recorded by the police and from the Crime Survey for England and Wales (CSEW). We also publish data on the outcomes of crime in terms of what happened to the offender.
,Cultural identity,,"We look at how people in the UK see themselves today, in terms of ethnicity, sexuality, religion and language, and how this has changed over time. We use a diverse range of sources for this data."
,,Ethnicity,How adults identify themselves in terms of their ethnicity.
,,Language,Data on the proportion of adults using English as their main language and a breakdown of other languages used in the UK.
,,Religion,How adults identify themselves in terms of religion.
,,Sexuality,How adults identify themselves in terms of their sexuality.
,Education and childcare,,
,Elections,,"Analysis of the number of people registered to vote, including comparisons over time and between the UK constituent countries."
,,Electoral registration,The number of people listed on electoral registers. This differs from the number of people who are eligible to vote. These statistics are available for the constituent countries of the UK.
,,General elections,
,,Local government elections,
,Health and social care,,"Data on life expectancy and the impact of factors such as occupation, illness and drug misuse. We collect these statistics from registrations and surveys. "
,,Causes of death,"Annual mortality statistics on deaths registered by age group, sex and underlying cause of death, and by other information collected at the time of registration."
,,Child health,By looking at child health statistics we can pull together a picture of children's health today.
,,Conditions and diseases,"Data on health conditions and diseases including newly diagnosed cancers, deaths from MRSA and deaths involving clostridium difficile (bacterial infection)."
,,Disability,We look at the number of people with disabilities and how disability affects day-to-day activities.
,,"Drug use, alcohol and smoking","Figures on drug-related deaths, alcohol-related deaths and smoking-related deaths."
,,Health care system,
,,Health inequalities,We examine current patterns and trends in ill health and death by measures of socio-economic status.
,,Health and life expectancies,We look at health and life expectancies and how these compare across the UK.
,,Health and well-being,
,,Mental health,
,,Social care,
,Household characteristics,,
,,Home internet and social media usage,"We look at how many of us use the internet and social media and how long we use it for. This data include the number of people who have used the internet, those who use the internet frequently and those who have never used the internet. Most of these statistics are broken down by age and gender."
,Housing,,"Data about property prices. These are an informal indicator of the confidence people feel in the UK economy. We collect the data from a sample of mortgage completions, so we do not include property sold to cash buyers."
,Leisure and tourism,,"Data on the number of visits and visitors to the UK, the reasons for visiting and the amount of money they have spent here. We look at the numbers of UK residents travelling abroad, their reasons for travel and the amount of money they spent. The statistics on UK residents travelling abroad are an informal indicator of living standards."
,Personal and household finances,,"We look at how much we earn and what we spend it on. These statistics help us build a picture of our spending and saving decisions. The data includes household and personal debt, expenditure, income and wealth."
,,Debt,"We look at the debt of UK households, broken down by financial debt and property debt."
,,Expenditure,"We look at the spending patterns of UK households, with findings taken from the Living Costs and Food Survey (LCF)."
,,Income and wealth,Figures on UK household income and wealth.
,,"Pensions, savings and investments",
,Population and migration,,"Statistics on the size, age, gender and geographic distribution of the UK population. We also examine changes in the UK population and the factors driving these changes. These statistics have a wide range of uses. Central government, local government and the health sector use them for planning, resource allocation and managing the economy. They are also used by people such as market researchers and academics."
,,International migration,"We look at the number of people moving in and out of the UK. Statistics on long term migration, short term migration, and visitor data provide a picture of those entering and leaving the UK, covering all lengths of stay. "
,,Migration within the UK,"Internal migration looks at residential moves between different geographic areas within the UK. These statistics are put together from 3 main sources; The NHS Patient Register, The NHS Central Register (NHSCR) and the Higher Education Statistics Agency (HESA). "
,,Population estimates,"Annual estimates of the size of the UK's usually resident population. We compile and publish UK estimates using estimates for England and Wales (produced by ONS directly), Scotland (produced by National Records of Scotland) and Northern Ireland (produced by the Northern Ireland Statistics & Research Agency). "
,,Population projections,"Population projections are available by age and sex for the UK and its constituent countries. These projections are based on mid-year population estimates and a set of underlying assumptions regarding future fertility, mortality and migration. They provide an indication of the impact that changes in demographic patterns might have on the size and age structure of the population in the future. These projections are widely used for resource allocation and planning. "
,Well-being,,"Measuring national well-being is about looking beyond what we produce, to areas such as health, relationships, education and skills, what we do, where we live, our finances and the environment. It also measures personal well-being,  an individual's assessment of their own well-being. This data comes from a variety of sources and much of the analysis is new."
